レースID,区分,月日時分,頭数,単勝票数,複勝票数,1単,1複Lo,1複Hi,2単,2複Lo,2複Hi,3単,3複Lo,3複Hi,4単,4複Lo,4複Hi,5単,5複Lo,5複Hi,6単,6複Lo,6複Hi,7単,7複Lo,7複Hi,8単,8複Lo,8複Hi,9単,9複Lo,9複Hi,10単,10複Lo,10複Hi,11単,11複Lo,11複Hi,12単,12複Lo,12複Hi,13単,13複Lo,13複Hi,14単,14複Lo,14複Hi,15単,15複Lo,15複Hi,16単,16複Lo,16複Hi
2025120607050101,1,12052036,16,       1391,       2505,  12.2,   3.3,   5.7,   6.1,   1.5,   2.2, 101.1,  26.3,  47.5,  18.2,   6.9,  12.3,  48.3,   8.9,  15.8,  14.2,   3.4,   5.8,  10.4,   3.0,   5.0,   7.0,   2.0,   3.2,   8.3,   2.1,   3.5,  13.4,   5.0,   8.7,   6.0,   2.8,   4.7, 123.6,  24.6,  44.3,  17.6,   9.8,  17.4,  29.2,   5.6,   9.9,  92.7,  15.6,  28.0,   6.9,   1.1,   1.4
2025120607050101,1,12052041,16,       1477,       2551,  12.5,   3.4,   5.7,   5.7,   1.5,   2.2,  98.4,  25.4,  45.1,  18.7,   7.2,  12.5,  51.3,   8.8,  15.4,  14.0,   3.4,   5.8,  10.4,   3.0,   5.0,   7.4,   2.0,   3.2,   8.8,   2.2,   3.6,  13.1,   5.1,   8.8,   6.1,   2.6,   4.3, 118.1,  25.4,  45.1,  16.1,   7.4,  12.9,  25.6,   5.7,  10.0,  98.4,  15.4,  27.4,   6.9,   1.2,   1.4
2025120607050101,1,12052046,16,       1703,       2848,  14.4,   3.9,   6.3,   6.3,   1.5,   2.2,  56.7,  16.5,  28.2,  21.2,   8.1,  13.6,  59.2,   9.7,  16.4,  15.1,   3.8,   6.2,  11.9,   3.4,   5.5,   3.8,   1.4,   2.1,  10.1,   2.5,   3.9,  15.1,   5.6,   9.4,   7.0,   2.9,   4.6, 136.2,  29.3,  50.2,  18.6,   8.5,  14.4,  28.9,   6.4,  10.7, 113.5,  17.8,  30.4,   8.0,   1.2,   1.5
2025120607050101,1,12052051,16,       1746,       3061,  14.7,   4.3,   6.7,   6.4,   1.5,   2.2,  58.2,  17.3,  28.3,  21.1,   8.9,  14.4,  55.8,  10.6,  17.3,  15.5,   2.6,   3.9,  12.2,   3.7,   5.8,   3.9,   1.5,   2.2,  10.1,   2.3,   3.5,  15.3,   6.3,  10.1,   7.2,   3.1,   4.9, 139.6,  32.9,  53.9,  19.1,   9.5,  15.4,  23.2,   7.0,  11.2, 116.4,  20.0,  32.7,   7.5,   1.2,   1.5
2025120607050101,1,12052056,16,       1798,       3212,  14.6,   3.6,   5.7,   6.0,   1.5,   2.3,  59.9,  18.0,  29.7,  20.8,   9.0,  14.6,  55.3,  11.1,  18.1,  14.6,   2.5,   3.9,  12.6,   3.8,   6.0,   4.0,   1.5,   2.0,  10.4,   2.4,   3.6,  15.6,   6.2,  10.0,   7.2,   3.0,   4.7, 143.8,  34.4,  56.6,  19.7,   9.9,  16.1,  23.5,   7.1,  11.5, 119.8,  20.8,  34.3,   7.5,   1.2,   1.6
2025120607050101,1,12052101,16,       1974,       3431,  15.7,   3.9,   6.0,   6.2,   1.6,   2.3,  63.1,  19.2,  30.6,  17.7,   7.8,  12.2,  54.4,  11.3,  17.9,  12.7,   2.4,   3.5,  11.6,   3.6,   5.5,   4.3,   1.5,   2.1,  10.8,   2.5,   3.7,  14.1,   5.2,   8.0,   7.1,   3.1,   4.6,  78.9,  35.6,  56.7,  17.5,  10.7,  16.9,  25.8,   7.3,  11.4, 131.6,  21.3,  33.9,   8.0,   1.3,   1.6
2025120607050101,1,12052106,16,       2339,       3744,  16.2,   4.1,   6.2,   5.7,   1.6,   2.2,  71.9,  21.6,  33.4,  19.6,   7.8,  12.0,  55.0,  12.7,  19.5,  14.8,   2.6,   3.8,  13.0,   3.6,   5.4,   4.4,   1.6,   2.3,  12.0,   2.7,   3.9,   7.5,   2.7,   3.9,   8.1,   3.4,   5.0,  93.5,  40.1,  61.9,  20.3,  11.4,  17.5,  28.7,   7.6,  11.6, 155.9,  23.9,  37.0,   8.0,   1.4,   1.7
2025120607050101,1,12052111,16,       2537,       5372,  17.4,   4.6,   8.3,   6.0,   1.7,   2.8,  75.1,  24.0,  44.9,  21.1,   9.1,  16.8,  57.9,  13.9,  25.9,  15.9,   3.0,   5.2,  14.1,   4.2,   7.5,   3.8,   1.8,   3.1,  12.9,   3.1,   5.4,   7.3,   3.1,   5.3,   8.2,   1.1,   1.3,  96.6,  44.7,  83.8,  21.8,  13.0,  24.2,  27.4,   8.6,  15.8, 169.1,  28.3,  53.1,   8.3,   1.5,   2.2
2025120607050101,1,12052116,16,       2659,       5545,  18.1,   4.8,   8.5,   5.4,   1.8,   2.8,  78.7,  23.9,  43.6,  21.7,   7.8,  13.9,  57.4,  14.0,  25.3,  14.7,   3.0,   5.1,  14.7,   4.1,   7.2,   3.8,   1.9,   3.1,  13.5,   3.1,   5.3,   7.4,   2.7,   4.5,   8.5,   1.1,   1.3, 101.2,  47.2,  86.5,  21.2,  10.4,  18.8,  27.6,   8.9,  15.9, 177.2,  28.9,  52.8,   8.6,   1.5,   2.2
2025120607050101,1,12052121,16,       2886,       5961,   9.9,   2.8,   4.5,   5.4,   1.7,   2.6,  79.6,  27.0,  46.9,  22.2,   7.9,  13.5,  56.3,  13.0,  22.4,  15.8,   3.3,   5.5,  15.7,   4.5,   7.5,   4.1,   2.1,   3.3,  13.6,   3.2,   5.3,   8.0,   3.0,   4.8,   9.0,   1.2,   1.4, 100.3,  53.6,  93.0,  21.9,  11.6,  20.0,  26.2,   8.1,  13.7, 164.9,  32.7,  56.8,   8.7,   1.6,   2.4
